Year,Month,ISHMT,Area,All Hospital Discharges,"Hospital Discharges Per 1,000 Population"
2017,1,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,98,0.165181438
2017,2,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,63,0.106188068
2017,3,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,81,0.136527515
2017,4,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,64,0.107873592
2017,5,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,51,0.085961769
2017,6,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,45,0.07584862
2017,7,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,53,0.089332819
2017,8,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,38,0.064049946
2017,9,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,69,0.116301217
2017,10,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,73,0.123043316
2017,11,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,71,0.119672267
2017,12,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,78,0.131470941
2018,1,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,166,0.27979713
2018,2,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,162,0.273055031
2018,3,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,121,0.203948511
2018,4,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,91,0.153382764
2018,5,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,50,0.084276244
2018,6,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,47,0.079219669
2018,7,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,27,0.045509172
2018,8,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,30,0.050565746
2018,9,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,28,0.047194697
2018,10,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,41,0.06910652
2018,11,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,54,0.091018344
2018,12,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,75,0.126414366
2019,1,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,188,0.316878678
2019,2,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,119,0.200577461
2019,3,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,99,0.166866963
2019,4,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,71,0.119672267
2019,5,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,41,0.06910652
2019,6,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,35,0.058993371
2019,7,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,51,0.085961769
2019,8,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,34,0.057307846
2019,9,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,43,0.07247757
2019,10,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,46,0.077534145
2019,11,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,65,0.109559117
2019,12,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,268,0.451720668
2020,1,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,205,0.345532601
2020,2,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,88,0.14832619
2020,3,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,51,0.085961769
2020,4,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,23,0.038767072
2020,5,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,16,0.026968398
2020,6,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,12,0.020226299
2020,7,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,14,0.023597348
2020,8,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,23,0.038767072
2020,9,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,37,0.062364421
2020,10,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,23,0.038767072
2020,11,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,16,0.026968398
2020,12,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,16,0.026968398
2021,1,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,10,0.016855249
2021,2,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,11,0.018540774
2021,3,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,5,0.008427624
2021,4,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,10,0.016855249
2021,5,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,28,0.047194697
2021,6,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,21,0.035396023
2021,7,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,24,0.040452597
2021,8,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,29,0.048880222
2021,9,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,25,0.042138122
2021,10,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,35,0.058993371
2021,11,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,28,0.047194697
2021,12,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,36,0.060678896
2022,1,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,24,0.040452597
2022,2,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,37,0.062364421
2022,3,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,43,0.07247757
2022,4,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,26,0.043823647
2022,5,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,29,0.048880222
2022,6,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,42,0.070792045
2022,7,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,29,0.048880222
2022,8,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,23,0.038767072
2022,9,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,37,0.062364421
2022,10,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,54,0.091018344
2022,11,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,56,0.094389393
2022,12,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,160,0.269683981
2023,1,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,178,0.300023429
2023,2,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,75,0.126414366
2023,3,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,59,0.099445968
2023,4,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,55,0.092703868
2023,5,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,46,0.077534145
2023,6,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,44,0.074163095
2023,7,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,27,0.045509172
2023,8,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,32,0.053936796
2023,9,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,38,0.064049946
2023,10,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,51,0.085961769
2023,11,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,56,0.094389393
2023,12,Acute upper respiratory infections & influenza (J00-J11),Co. Cork,151,0.254514257
2017,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,227,0.151186984
2017,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,134,0.089246942
2017,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,139,0.092577052
2017,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,118,0.078590591
2017,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,127,0.084584789
2017,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,106,0.070598328
2017,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,94,0.062606064
2017,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,99,0.065936174
2017,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,120,0.079922635
2017,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,136,0.090578986
2017,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,120,0.079922635
2017,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,196,0.130540304
2018,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,455,0.303039991
2018,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,330,0.219787246
2018,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,251,0.167171511
2018,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,155,0.103233403
2018,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,130,0.086582855
2018,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,120,0.079922635
2018,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,90,0.059941976
2018,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,82,0.054613801
2018,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,93,0.061940042
2018,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,94,0.062606064
2018,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,107,0.071264349
2018,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,144,0.095907162
2019,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,310,0.206466807
2019,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,332,0.22111929
2019,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,180,0.119883952
2019,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,156,0.103899425
2019,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,110,0.073262415
2019,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,83,0.055279823
2019,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,90,0.059941976
2019,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,80,0.053281757
2019,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,100,0.066602196
2019,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,129,0.085916833
2019,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,143,0.09524114
2019,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,427,0.284391376
2020,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,349,0.232441663
2020,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,190,0.126544172
2020,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,208,0.138532567
2020,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,58,0.038629274
2020,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,42,0.027972922
2020,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,25,0.016650549
2020,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,41,0.0273069
2020,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,42,0.027972922
2020,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,50,0.033301098
2020,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,47,0.031303032
2020,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,43,0.028638944
2020,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,39,0.025974856
2021,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,44,0.029304966
2021,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,30,0.019980659
2021,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,45,0.029970988
2021,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,62,0.041293361
2021,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,37,0.024642812
2021,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,58,0.038629274
2021,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,78,0.051949713
2021,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,64,0.042625405
2021,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,67,0.044623471
2021,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,78,0.051949713
2021,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,78,0.051949713
2021,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,67,0.044623471
2022,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,72,0.047953581
2022,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,81,0.053947779
2022,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,171,0.113889755
2022,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,128,0.085250811
2022,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,90,0.059941976
2022,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,127,0.084584789
2022,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,103,0.068600262
2022,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,95,0.063272086
2022,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,95,0.063272086
2022,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,153,0.10190136
2022,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,154,0.102567381
2022,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,507,0.337673132
2023,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,514,0.342335286
2023,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,203,0.135202457
2023,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,185,0.123214062
2023,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,152,0.101235338
2023,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,138,0.09191103
2023,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,125,0.083252745
2023,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,128,0.085250811
2023,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,96,0.063938108
2023,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,90,0.059941976
2023,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,107,0.071264349
2023,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,124,0.082586723
2023,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,255,0.169835599
2017,1,Asthma (J45-J46),Co. Cork,51,0.085961769
2017,2,Asthma (J45-J46),Co. Cork,52,0.087647294
2017,3,Asthma (J45-J46),Co. Cork,45,0.07584862
2017,4,Asthma (J45-J46),Co. Cork,37,0.062364421
2017,5,Asthma (J45-J46),Co. Cork,59,0.099445968
2017,6,Asthma (J45-J46),Co. Cork,57,0.096074918
2017,7,Asthma (J45-J46),Co. Cork,44,0.074163095
2017,8,Asthma (J45-J46),Co. Cork,58,0.097760443
2017,9,Asthma (J45-J46),Co. Cork,60,0.101131493
2017,10,Asthma (J45-J46),Co. Cork,62,0.104502543
2017,11,Asthma (J45-J46),Co. Cork,72,0.121357791
2017,12,Asthma (J45-J46),Co. Cork,68,0.114615692
2018,1,Asthma (J45-J46),Co. Cork,66,0.111244642
2018,2,Asthma (J45-J46),Co. Cork,66,0.111244642
2018,3,Asthma (J45-J46),Co. Cork,64,0.107873592
2018,4,Asthma (J45-J46),Co. Cork,58,0.097760443
2018,5,Asthma (J45-J46),Co. Cork,74,0.124728841
2018,6,Asthma (J45-J46),Co. Cork,57,0.096074918
2018,7,Asthma (J45-J46),Co. Cork,43,0.07247757
2018,8,Asthma (J45-J46),Co. Cork,44,0.074163095
2018,9,Asthma (J45-J46),Co. Cork,66,0.111244642
2018,10,Asthma (J45-J46),Co. Cork,71,0.119672267
2018,11,Asthma (J45-J46),Co. Cork,81,0.136527515
2018,12,Asthma (J45-J46),Co. Cork,53,0.089332819
2019,1,Asthma (J45-J46),Co. Cork,65,0.109559117
2019,2,Asthma (J45-J46),Co. Cork,42,0.070792045
2019,3,Asthma (J45-J46),Co. Cork,51,0.085961769
2019,4,Asthma (J45-J46),Co. Cork,54,0.091018344
2019,5,Asthma (J45-J46),Co. Cork,49,0.082590719
2019,6,Asthma (J45-J46),Co. Cork,36,0.060678896
2019,7,Asthma (J45-J46),Co. Cork,43,0.07247757
2019,8,Asthma (J45-J46),Co. Cork,60,0.101131493
2019,9,Asthma (J45-J46),Co. Cork,68,0.114615692
2019,10,Asthma (J45-J46),Co. Cork,69,0.116301217
2019,11,Asthma (J45-J46),Co. Cork,57,0.096074918
2019,12,Asthma (J45-J46),Co. Cork,49,0.082590719
2020,1,Asthma (J45-J46),Co. Cork,66,0.111244642
2020,2,Asthma (J45-J46),Co. Cork,46,0.077534145
2020,3,Asthma (J45-J46),Co. Cork,64,0.107873592
2020,4,Asthma (J45-J46),Co. Cork,57,0.096074918
2020,5,Asthma (J45-J46),Co. Cork,41,0.06910652
2020,6,Asthma (J45-J46),Co. Cork,34,0.057307846
2020,7,Asthma (J45-J46),Co. Cork,39,0.06573547
2020,8,Asthma (J45-J46),Co. Cork,35,0.058993371
2020,9,Asthma (J45-J46),Co. Cork,44,0.074163095
2020,10,Asthma (J45-J46),Co. Cork,52,0.087647294
2020,11,Asthma (J45-J46),Co. Cork,43,0.07247757
2020,12,Asthma (J45-J46),Co. Cork,49,0.082590719
2021,1,Asthma (J45-J46),Co. Cork,35,0.058993371
2021,2,Asthma (J45-J46),Co. Cork,39,0.06573547
2021,3,Asthma (J45-J46),Co. Cork,41,0.06910652
2021,4,Asthma (J45-J46),Co. Cork,53,0.089332819
2021,5,Asthma (J45-J46),Co. Cork,40,0.067420995
2021,6,Asthma (J45-J46),Co. Cork,51,0.085961769
2021,7,Asthma (J45-J46),Co. Cork,36,0.060678896
2021,8,Asthma (J45-J46),Co. Cork,30,0.050565746
2021,9,Asthma (J45-J46),Co. Cork,42,0.070792045
2021,10,Asthma (J45-J46),Co. Cork,47,0.079219669
2021,11,Asthma (J45-J46),Co. Cork,46,0.077534145
2021,12,Asthma (J45-J46),Co. Cork,43,0.07247757
2022,1,Asthma (J45-J46),Co. Cork,41,0.06910652
2022,2,Asthma (J45-J46),Co. Cork,33,0.055622321
2022,3,Asthma (J45-J46),Co. Cork,55,0.092703868
2022,4,Asthma (J45-J46),Co. Cork,45,0.07584862
2022,5,Asthma (J45-J46),Co. Cork,59,0.099445968
2022,6,Asthma (J45-J46),Co. Cork,36,0.060678896
2022,7,Asthma (J45-J46),Co. Cork,39,0.06573547
2022,8,Asthma (J45-J46),Co. Cork,39,0.06573547
2022,9,Asthma (J45-J46),Co. Cork,52,0.087647294
2022,10,Asthma (J45-J46),Co. Cork,55,0.092703868
2022,11,Asthma (J45-J46),Co. Cork,56,0.094389393
2022,12,Asthma (J45-J46),Co. Cork,57,0.096074918
2023,1,Asthma (J45-J46),Co. Cork,69,0.116301217
2023,2,Asthma (J45-J46),Co. Cork,55,0.092703868
2023,3,Asthma (J45-J46),Co. Cork,64,0.107873592
2023,4,Asthma (J45-J46),Co. Cork,58,0.097760443
2023,5,Asthma (J45-J46),Co. Cork,72,0.121357791
2023,6,Asthma (J45-J46),Co. Cork,39,0.06573547
2023,7,Asthma (J45-J46),Co. Cork,46,0.077534145
2023,8,Asthma (J45-J46),Co. Cork,58,0.097760443
2023,9,Asthma (J45-J46),Co. Cork,65,0.109559117
2023,10,Asthma (J45-J46),Co. Cork,69,0.116301217
2023,11,Asthma (J45-J46),Co. Cork,78,0.131470941
2023,12,Asthma (J45-J46),Co. Cork,66,0.111244642
2017,1,Asthma (J45-J46),Co. Dublin,120,0.079922635
2017,2,Asthma (J45-J46),Co. Dublin,139,0.092577052
2017,3,Asthma (J45-J46),Co. Dublin,132,0.087914898
2017,4,Asthma (J45-J46),Co. Dublin,124,0.082586723
2017,5,Asthma (J45-J46),Co. Dublin,166,0.110559645
2017,6,Asthma (J45-J46),Co. Dublin,144,0.095907162
2017,7,Asthma (J45-J46),Co. Dublin,133,0.08858092
2017,8,Asthma (J45-J46),Co. Dublin,162,0.107895557
2017,9,Asthma (J45-J46),Co. Dublin,207,0.137866545
2017,10,Asthma (J45-J46),Co. Dublin,157,0.104565447
2017,11,Asthma (J45-J46),Co. Dublin,185,0.123214062
2017,12,Asthma (J45-J46),Co. Dublin,176,0.117219865
2018,1,Asthma (J45-J46),Co. Dublin,184,0.12254804
2018,2,Asthma (J45-J46),Co. Dublin,141,0.093909096
2018,3,Asthma (J45-J46),Co. Dublin,201,0.133870413
2018,4,Asthma (J45-J46),Co. Dublin,168,0.111891689
2018,5,Asthma (J45-J46),Co. Dublin,170,0.113223733
2018,6,Asthma (J45-J46),Co. Dublin,159,0.105897491
2018,7,Asthma (J45-J46),Co. Dublin,147,0.097905228
2018,8,Asthma (J45-J46),Co. Dublin,159,0.105897491
2018,9,Asthma (J45-J46),Co. Dublin,174,0.115887821
2018,10,Asthma (J45-J46),Co. Dublin,141,0.093909096
2018,11,Asthma (J45-J46),Co. Dublin,176,0.117219865
2018,12,Asthma (J45-J46),Co. Dublin,170,0.113223733
2019,1,Asthma (J45-J46),Co. Dublin,189,0.12587815
2019,2,Asthma (J45-J46),Co. Dublin,148,0.09857125
2019,3,Asthma (J45-J46),Co. Dublin,166,0.110559645
2019,4,Asthma (J45-J46),Co. Dublin,173,0.115221799
2019,5,Asthma (J45-J46),Co. Dublin,180,0.119883952
2019,6,Asthma (J45-J46),Co. Dublin,136,0.090578986
2019,7,Asthma (J45-J46),Co. Dublin,174,0.115887821
2019,8,Asthma (J45-J46),Co. Dublin,161,0.107229535
2019,9,Asthma (J45-J46),Co. Dublin,189,0.12587815
2019,10,Asthma (J45-J46),Co. Dublin,193,0.128542238
2019,11,Asthma (J45-J46),Co. Dublin,199,0.13253837
2019,12,Asthma (J45-J46),Co. Dublin,167,0.111225667
2020,1,Asthma (J45-J46),Co. Dublin,153,0.10190136
2020,2,Asthma (J45-J46),Co. Dublin,162,0.107895557
2020,3,Asthma (J45-J46),Co. Dublin,164,0.109227601
2020,4,Asthma (J45-J46),Co. Dublin,91,0.060607998
2020,5,Asthma (J45-J46),Co. Dublin,79,0.052615735
2020,6,Asthma (J45-J46),Co. Dublin,80,0.053281757
2020,7,Asthma (J45-J46),Co. Dublin,100,0.066602196
2020,8,Asthma (J45-J46),Co. Dublin,114,0.075926503
2020,9,Asthma (J45-J46),Co. Dublin,143,0.09524114
2020,10,Asthma (J45-J46),Co. Dublin,158,0.105231469
2020,11,Asthma (J45-J46),Co. Dublin,131,0.087248876
2020,12,Asthma (J45-J46),Co. Dublin,140,0.093243074
2021,1,Asthma (J45-J46),Co. Dublin,105,0.069932306
2021,2,Asthma (J45-J46),Co. Dublin,102,0.06793424
2021,3,Asthma (J45-J46),Co. Dublin,160,0.106563513
2021,4,Asthma (J45-J46),Co. Dublin,148,0.09857125
2021,5,Asthma (J45-J46),Co. Dublin,129,0.085916833
2021,6,Asthma (J45-J46),Co. Dublin,126,0.083918767
2021,7,Asthma (J45-J46),Co. Dublin,129,0.085916833
2021,8,Asthma (J45-J46),Co. Dublin,144,0.095907162
2021,9,Asthma (J45-J46),Co. Dublin,124,0.082586723
2021,10,Asthma (J45-J46),Co. Dublin,172,0.114555777
2021,11,Asthma (J45-J46),Co. Dublin,158,0.105231469
2021,12,Asthma (J45-J46),Co. Dublin,159,0.105897491
2022,1,Asthma (J45-J46),Co. Dublin,143,0.09524114
2022,2,Asthma (J45-J46),Co. Dublin,151,0.100569316
2022,3,Asthma (J45-J46),Co. Dublin,184,0.12254804
2022,4,Asthma (J45-J46),Co. Dublin,115,0.076592525
2022,5,Asthma (J45-J46),Co. Dublin,150,0.099903294
2022,6,Asthma (J45-J46),Co. Dublin,151,0.100569316
2022,7,Asthma (J45-J46),Co. Dublin,120,0.079922635
2022,8,Asthma (J45-J46),Co. Dublin,135,0.089912964
2022,9,Asthma (J45-J46),Co. Dublin,177,0.117885887
2022,10,Asthma (J45-J46),Co. Dublin,177,0.117885887
2022,11,Asthma (J45-J46),Co. Dublin,164,0.109227601
2022,12,Asthma (J45-J46),Co. Dublin,176,0.117219865
2023,1,Asthma (J45-J46),Co. Dublin,193,0.128542238
2023,2,Asthma (J45-J46),Co. Dublin,168,0.111891689
2023,3,Asthma (J45-J46),Co. Dublin,179,0.11921793
2023,4,Asthma (J45-J46),Co. Dublin,154,0.102567381
2023,5,Asthma (J45-J46),Co. Dublin,146,0.097239206
2023,6,Asthma (J45-J46),Co. Dublin,144,0.095907162
2023,7,Asthma (J45-J46),Co. Dublin,134,0.089246942
2023,8,Asthma (J45-J46),Co. Dublin,145,0.096573184
2023,9,Asthma (J45-J46),Co. Dublin,175,0.116553843
2023,10,Asthma (J45-J46),Co. Dublin,164,0.109227601
2023,11,Asthma (J45-J46),Co. Dublin,191,0.127210194
2023,12,Asthma (J45-J46),Co. Dublin,184,0.12254804
